Focal_group,Comparison,N_markers_up,N_markers_down,N_genes_tested,N_cells_focal,N_cells_rest,Formula,LogFC_scale
1,1_vs_rest,407,244,12224,619,2276,~ group_safe + cngeneson_s + log10_umi_s,log2
2,2_vs_rest,283,184,12224,559,2336,~ group_safe + cngeneson_s + log10_umi_s,log2
3,3_vs_rest,249,259,12224,553,2342,~ group_safe + cngeneson_s + log10_umi_s,log2
4,4_vs_rest,202,218,12224,424,2471,~ group_safe + cngeneson_s + log10_umi_s,log2
5,5_vs_rest,171,204,12224,304,2591,~ group_safe + cngeneson_s + log10_umi_s,log2
6,6_vs_rest,480,478,12224,242,2653,~ group_safe + cngeneson_s + log10_umi_s,log2
7,7_vs_rest,313,144,12224,194,2701,~ group_safe + cngeneson_s + log10_umi_s,log2
