leiden,gene,mean_expr,pct_expr
3,TFF3,-0.06583164,32.270966
3,SCGB1A1,-0.50644726,12.623422
3,SCGB3A1,-0.36530274,19.822521
3,SCGB3A2,-0.010918928,0.0
3,SLPI,-0.10206758,43.34458
3,WFDC2,0.44693312,82.802155
3,MSMB,-0.3503702,32.55843
3,VMO1,0.316323,69.153854
3,LCN2,0.79285103,88.313965
3,SAA1,0.426167,50.531185
3,SAA2,0.30130112,38.73266
3,IL8,-0.18145616,0.024996875
3,CXCL1,0.06664865,30.408699
3,CXCL2,0.13307877,11.711037
3,DUOX2,0.887356,70.66616
3,DUOXA2,0.8644922,52.105988
3,S100A8,0.06434352,31.621048
3,S100A9,0.047985163,44.70691
3,IFI27,0.39387992,76.340454
3,IFITM3,0.5519773,79.79002
3,FOS,-0.012823055,42.19473
3,JUN,-0.06324299,45.14436
3,ATF3,0.01917609,25.546806
3,DUSP1,0.3018264,56.442947
3,IER2,0.18982236,58.767654
3,HSPA1A,0.1434115,55.993004
3,CD74,0.5216839,75.65304
3,HLA-DRA,0.19618669,60.392452
3,HLA-DRB1,0.47401842,67.10411
3,HLA-DPA1,0.3008241,42.007248
3,MMP7,-0.060863324,5.1493564
3,PIP,0.037594184,11.861017
3,TCN1,-0.16250819,25.19685
3,CLU,-0.25094005,34.758156
3,MALAT1,-1.359145,0.7374078
3,XIST,-0.008708229,39.945007
3,HBB,-0.21944894,3.337083
3,HBA2,-0.07764809,3.0496187
4,MUC5AC,0.36038426,67.24376
4,MUC5B,-0.26856795,2.2456403
4,MUC2,-0.3227598,0.0
4,BPIFB1,-0.0140386,49.68009
4,PIGR,0.32450476,71.07013
4,AGR2,0.032673936,52.741188
4,CLCA1,-0.0403889,0.0
4,TFF3,-0.1922424,25.015682
4,SCGB1A1,-0.25168958,26.884958
4,SCGB3A1,0.17118771,50.031364
4,SCGB3A2,-0.010918928,0.0
4,SLPI,-0.16897005,41.83917
4,WFDC2,0.22805327,73.253044
4,MSMB,0.45546883,68.97504
4,VMO1,0.5303393,79.01141
4,LCN2,0.32962853,70.60594
4,SAA1,0.23568025,46.33045
4,SAA2,0.25246206,36.770794
4,IL8,0.38896206,16.848576
4,CXCL1,-0.0130084,29.632416
4,CXCL2,0.0708126,10.600928
4,DUOX2,0.3645089,56.27901
4,DUOXA2,0.14192739,31.551876
4,S100A8,-0.063637644,29.594782
4,S100A9,0.23764218,52.440094
4,IFI27,0.8469737,92.27198
4,IFITM3,-0.080285065,49.54209
4,FOS,-0.44446653,20.3864
4,JUN,-0.37858889,24.225317
4,ATF3,-0.09286466,20.260946
4,DUSP1,-0.26028365,31.79024
4,IER2,-0.2419294,36.44461
4,HSPA1A,-0.19704752,39.856983
4,CD74,0.266625,69.41412
4,HLA-DRA,0.47515643,69.56467
4,HLA-DRB1,0.42490608,65.07339
4,HLA-DPA1,0.0987531,35.089703
4,MMP7,-0.07696307,4.579099
4,PIP,0.20345527,15.518756
4,TCN1,0.043075796,35.578976
4,CLU,-0.19232036,39.6688
4,MALAT1,0.8341712,96.44963
4,XIST,0.40434626,54.94919
4,HBB,0.12545231,20.687492
4,HBA2,0.025324706,5.595283
5,MUC5AC,-0.044917792,45.34177
5,MUC5B,-0.21698621,3.1898732
5,MUC2,0.07838919,15.278481
5,BPIFB1,0.2432312,63.658226
5,PIGR,0.22895052,70.93671
5,AGR2,0.5391287,79.215195
5,CLCA1,0.1324398,1.7974684
5,TFF3,-0.33337173,19.772152
5,SCGB1A1,-0.24377301,27.734179
5,SCGB3A1,-0.52084905,15.354431
5,SCGB3A2,-0.010918928,0.0
5,SLPI,-0.27135745,31.759495
5,WFDC2,-0.635656,12.0
5,MSMB,0.21642557,59.607594
5,VMO1,-0.6255706,22.70886
5,LCN2,-0.37790334,36.481014
5,SAA1,-0.34183404,12.012658
5,SAA2,-0.3374845,4.708861
5,IL8,-0.1826184,0.0
5,CXCL1,-0.06801033,21.873417
5,CXCL2,-0.15456295,2.278481
5,DUOX2,-0.03967017,23.506329
5,DUOXA2,-0.400786,1.050633
5,S100A8,-0.3792357,8.92405
5,S100A9,-0.3922351,24.70886
5,IFI27,-0.8517435,13.481012
5,IFITM3,-0.4134797,36.78481
5,FOS,0.21302374,53.012657
5,JUN,-0.08061296,46.151897
5,ATF3,-0.24438041,10.240506
5,DUSP1,-0.061793413,42.58228
5,IER2,-0.314131,37.97468
5,HSPA1A,0.6007355,68.72152
5,CD74,-0.40537545,32.70886
5,HLA-DRA,-0.2187081,43.215187
5,HLA-DRB1,-0.6646399,12.696202
5,HLA-DPA1,-0.46503267,2.3670886
5,MMP7,0.036121007,5.392405
5,PIP,-0.0027217113,6.607595
5,TCN1,0.12185546,30.64557
5,CLU,0.17435978,54.949368
5,MALAT1,0.024270633,52.1519
5,XIST,-0.6339933,0.278481
5,HBB,-0.26048967,0.29113925
5,HBA2,-0.1609824,0.278481
6,MUC5AC,-0.23500274,26.765114
6,MUC5B,-0.027392002,12.674973
6,MUC2,-0.32232997,0.046146747
6,BPIFB1,-0.35030976,14.828488
6,PIGR,-0.57093036,15.79757
6,AGR2,-0.6918484,13.936317
6,CLCA1,-0.0403889,0.0
6,TFF3,-0.018515786,48.069527
6,SCGB1A1,-0.12452514,34.517765
6,SCGB3A1,-0.05353277,54.13013
6,SCGB3A2,-0.009379024,0.015382249
6,SLPI,-1.6634511,10.644516
6,WFDC2,-1.9600595,16.028303
6,MSMB,-0.10649257,21.55053
6,VMO1,-0.46222174,16.61283
6,LCN2,-0.29229292,22.750347
6,SAA1,1.2359848,83.54099
6,SAA2,1.5934603,75.034615
6,IL8,0.17530942,10.475311
6,CXCL1,0.79507,63.036453
6,CXCL2,0.68442845,24.334719
6,DUOX2,0.26750678,51.06907
6,DUOXA2,0.39235806,40.686047
6,S100A8,0.5576283,69.80464
6,S100A9,0.7082471,89.50931
6,IFI27,0.16707855,47.0543
6,IFITM3,0.46279153,85.97139
6,FOS,-0.1335292,50.56145
6,JUN,0.06748137,64.42086
6,ATF3,0.2530774,33.45639
6,DUSP1,-0.09243571,45.30072
6,IER2,0.087303035,65.574524
6,HSPA1A,-0.031471398,44.208584
6,CD74,-0.099652566,24.48854
6,HLA-DRA,0.68864053,91.601295
6,HLA-DRB1,0.8042252,88.92478
6,HLA-DPA1,0.7753872,57.52961
6,MMP7,0.32771248,12.428858
6,PIP,0.27761835,14.890017
6,TCN1,0.4766527,51.838177
6,CLU,0.03980304,65.09768
6,MALAT1,-0.26066837,23.904015
6,XIST,0.62064993,67.11275
6,HBB,0.33940673,27.534225
6,HBA2,0.2395691,8.983233
7,MUC5AC,-0.21218246,36.46366
7,MUC5B,-0.04530355,8.941577
7,MUC2,-0.32234448,0.0154966675
7,BPIFB1,0.30401766,68.49527
7,PIGR,-0.30658627,45.188286
7,AGR2,0.75136364,90.40756
7,CLCA1,-0.0403889,0.0
7,TFF3,0.53755397,54.207344
7,SCGB1A1,0.95124584,83.66651
7,SCGB3A1,0.55453336,69.84348
7,SCGB3A2,-0.010918928,0.0
7,SLPI,0.86188036,91.6473
7,WFDC2,1.1502522,94.91709
7,MSMB,0.678569,77.04943
7,VMO1,0.6066821,82.19433
7,LCN2,-0.6501578,22.687122
7,SAA1,-0.48013052,2.432977
7,SAA2,-0.40222204,0.92980003
7,IL8,-0.17964529,0.10847668
7,CXCL1,-0.22051866,12.505812
7,CXCL2,-0.17438994,1.2087401
7,DUOX2,-0.52999616,2.5724468
7,DUOXA2,-0.39612627,0.77483344
7,S100A8,-0.34489948,7.670851
7,S100A9,-0.08088114,34.030685
7,IFI27,-0.53138477,35.95227
7,IFITM3,-0.48894778,35.44088
7,FOS,0.8196083,77.94824
7,JUN,0.7133445,71.65659
7,ATF3,0.13944054,19.479313
7,DUSP1,0.45440376,55.896484
7,IER2,0.6058477,64.74508
7,HSPA1A,0.95506996,58.51542
7,CD74,-1.0802778,12.428328
7,HLA-DRA,-0.60264456,22.191229
7,HLA-DRB1,-0.68193805,8.926081
7,HLA-DPA1,-0.42790204,2.8823802
7,MMP7,-0.066540256,2.2315202
7,PIP,-0.16531724,1.5806602
7,TCN1,-0.099180266,16.147528
7,CLU,0.41918746,63.148922
7,MALAT1,0.954948,98.96172
7,XIST,0.8570572,59.941113
7,HBB,-0.25643295,0.38741672
7,HBA2,-0.15293555,0.32543004
8,MUC5AC,0.111804634,52.91848
8,MUC5B,-0.28598747,1.0902381
8,MUC2,-0.2567554,3.3545787
8,BPIFB1,-0.18804662,45.48809
8,PIGR,-0.05278496,56.088562
8,AGR2,-0.37576985,35.424355
8,CLCA1,-0.03870484,0.016772896
8,TFF3,-0.4456296,12.210668
8,SCGB1A1,-0.55990726,11.640389
8,SCGB3A1,-0.31126454,26.383764
8,SCGB3A2,-0.010918928,0.0
8,SLPI,-0.040619142,52.935253
8,WFDC2,0.42780465,79.704796
8,MSMB,-0.17800227,44.817177
8,VMO1,0.34351933,71.83831
8,LCN2,0.86033875,92.30125
8,SAA1,0.2852499,37.034554
8,SAA2,0.3097531,29.956392
8,IL8,0.04095839,5.9543777
8,CXCL1,-0.075143285,19.64106
8,CXCL2,0.01743474,6.8265686
8,DUOX2,0.8862501,65.64911
8,DUOXA2,0.97640353,49.630997
8,S100A8,1.1068511,64.40791
8,S100A9,0.62247944,67.04126
8,IFI27,0.055711977,58.604496
8,IFITM3,0.39636755,71.56995
8,FOS,-0.66721934,11.774572
8,JUN,-0.5882865,19.272057
8,ATF3,-0.2645895,9.275411
8,DUSP1,-0.36902472,28.228783
8,IER2,-0.3407339,35.256622
8,HSPA1A,-0.31232998,26.920498
8,CD74,-0.10688025,49.53036
8,HLA-DRA,-0.47084188,28.178463
8,HLA-DRB1,-0.32467255,29.620934
8,HLA-DPA1,-0.30743653,9.275411
8,MMP7,-0.04218964,3.8913116
8,PIP,0.4174815,18.651459
8,TCN1,0.1618469,33.26065
8,CLU,-0.23127653,39.533714
8,MALAT1,0.43303385,87.40356
8,XIST,-0.33283645,16.236162
8,HBB,-0.032266404,8.587723
8,HBA2,-0.12958284,1.3753774
9,MUC5AC,-0.31524438,26.606146
9,MUC5B,0.47456056,27.810755
9,MUC2,-0.28599542,2.4615922
9,BPIFB1,-0.054101042,48.847763
9,PIGR,0.022587735,61.138268
9,AGR2,0.5497202,88.84428
9,CLCA1,-0.0403889,0.0
9,TFF3,0.28831354,51.69343
9,SCGB1A1,1.1239887,88.058655
9,SCGB3A1,0.15822312,51.152237
9,SCGB3A2,-0.010918928,0.0
9,SLPI,1.0341791,97.084496
9,WFDC2,0.4337453,79.60894
9,MSMB,0.5860695,68.36592
9,VMO1,0.43996462,77.95042
9,LCN2,-0.31350476,32.26257
9,SAA1,-0.5050112,2.0425978
9,SAA2,-0.4166493,0.6459497
9,IL8,-0.18186688,0.0174581
9,CXCL1,-0.0008632966,28.648743
9,CXCL2,-0.1868531,1.6934358
9,DUOX2,-0.5692224,1.2569833
9,DUOXA2,-0.41291258,0.19203912
9,S100A8,-0.48763824,1.7807262
9,S100A9,-0.121658795,39.664806
9,IFI27,-0.05823907,53.14246
9,IFITM3,-0.2304963,42.807262
9,FOS,0.58771455,74.80796
9,JUN,0.6505843,75.52374
9,ATF3,-0.10216418,17.772346
9,DUSP1,0.16955668,54.83589
9,IER2,0.49579352,72.15433
9,HSPA1A,0.78410244,72.18925
9,CD74,-0.6323153,16.916899
9,HLA-DRA,0.07732807,56.7912
9,HLA-DRB1,-0.19837938,42.73743
9,HLA-DPA1,-0.30823588,10.876396
9,MMP7,-0.007814098,5.2025137
9,PIP,-0.23331803,0.41899443
9,TCN1,-0.28639936,14.490223
9,CLU,0.48421463,72.433655
9,MALAT1,0.94350797,99.30168
9,XIST,-0.63556904,0.2269553
9,HBB,0.36302745,27.67109
9,HBA2,0.705554,18.680168
10,MUC5AC,1.4471573,97.59081
10,MUC5B,-0.23010297,2.3150764
10,MUC2,1.9383658,64.20101
10,BPIFB1,0.23274854,73.29193
10,PIGR,0.3185023,80.57594
10,AGR2,0.6404822,84.490875
10,CLCA1,-0.0403889,0.0
10,TFF3,-0.32533562,18.219461
10,SCGB1A1,-0.5824588,15.41502
10,SCGB3A1,-0.3415804,29.644268
10,SCGB3A2,-0.010918928,0.0
10,SLPI,-0.22112925,30.284208
10,WFDC2,0.4030809,90.04329
10,MSMB,-1.0182652,4.573687
10,VMO1,0.055796202,65.42443
10,LCN2,1.2520187,98.90834
10,SAA1,1.5284864,74.25184
