,MUC5AC,MUC5B,MUC2,BPIFB1,PIGR,AGR2,CLCA1,TFF3,SCGB1A1,SCGB3A1,SCGB3A2,SLPI,WFDC2,MSMB,VMO1,LCN2,SAA1,SAA2,IL8,CXCL1,CXCL2,DUOX2,DUOXA2,S100A8,S100A9,IFI27,IFITM3,FOS,JUN,ATF3,DUSP1,IER2,HSPA1A,CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,MMP7,PIP,TCN1,CLU,MALAT1,XIST,HBB,HBA2
12,51.313835,49.62816,33.88696,81.18493,72.33515,82.32524,1.2394645,77.887955,61.5766,43.30689,0.07436787,90.70402,59.51909,53.19782,70.57511,51.95835,23.822508,14.700049,0.0,43.38126,11.229548,2.379772,0.79325736,5.3049083,11.279128,34.779377,43.604362,51.289047,58.42836,21.244423,48.388695,52.900345,49.62816,41.918694,49.504215,42.166584,30.540407,12.444224,3.891919,15.220624,54.610806,30.143776,47.99207,10.436292,12.692118
13,71.39907,1.1615901,1.1099639,86.03511,86.73206,58.079506,0.0,34.486317,55.110996,88.46153,0.025813112,77.3619,83.04079,80.87248,89.958694,77.20702,5.2658753,2.1424885,2.4522457,10.789881,0.7743934,14.068146,5.8337636,10.325246,19.721218,53.794525,62.08054,13.035623,16.572018,2.0650492,13.035623,24.88384,16.442953,66.75271,35.647907,33.58286,5.033557,3.226639,5.162623,25.271038,61.409397,96.644295,20.676304,17.268972,0.8518327
14,54.699306,0.09066183,2.9313993,67.51285,80.84013,66.032036,0.0,13.417952,29.857964,37.836205,0.0,7.676035,6.2254457,80.26594,75.97462,16.228468,4.9259596,4.0193415,27.10789,14.868541,4.2611065,33.212452,17.104866,11.8767,31.852522,43.185253,30.492596,71.86461,70.77667,54.064674,58.02357,51.163494,15.261409,30.039288,17.920822,17.76972,1.6016923,1.4203687,8.703536,17.76972,42.308853,73.43608,32.60804,0.030220611,0.030220611
15,14.185527,36.085434,0.0,62.480076,75.54989,93.05068,0.0,69.68441,96.23845,43.576668,0.0,99.36245,59.64297,53.203697,89.54415,46.254383,5.961109,3.3152692,0.0,19.094675,1.7851449,1.8489001,0.38253108,1.7532674,25.310806,29.964935,41.377113,87.24896,92.28562,35.160984,79.12018,85.40006,72.29837,17.277653,67.803635,64.042076,35.639145,1.0838381,0.15938796,4.144087,84.44373,99.394325,85.75072,9.818297,13.2292
16,65.86257,0.58479536,19.517544,54.459064,74.853806,67.39766,0.18274854,55.372803,14.839181,11.988304,0.0,85.01462,58.26023,67.909355,56.834793,70.28509,24.817253,15.314327,0.03654971,27.850878,2.2295322,21.271929,9.649122,13.852339,19.773392,55.409355,37.9386,3.252924,12.682748,3.874269,12.53655,21.162281,41.30117,35.672516,31.725147,23.355263,5.738304,0.9502924,3.4722223,28.216373,24.086258,0.9502924,62.134506,0.58479536,0.4751462
17,44.84725,46.680244,0.0,89.61303,54.704685,99.47047,0.0,52.74949,97.148674,99.2668,0.0,98.45214,97.47454,87.78004,92.74949,30.549898,2.6476579,1.0183299,0.0,43.340122,14.460285,1.5478615,0.203666,0.48879838,6.1099796,18.818737,27.454176,99.348274,98.73727,71.975555,97.881874,98.004074,47.576374,4.317719,25.580448,12.99389,6.5987782,11.934827,0.8961303,30.957232,94.378815,99.91853,1.9144602,1.3034623,0.65173113
18,57.70263,7.7831454,15.0831995,91.035965,96.77939,28.287708,0.0,43.31723,24.584003,82.179276,0.0,68.33065,96.242615,24.745035,72.19538,95.54482,55.555557,43.531937,0.0,31.88406,5.904455,71.55126,55.394524,18.625872,44.283413,99.78529,99.62427,26.03328,30.434782,11.325818,36.768654,49.919487,38.86205,99.838974,88.19109,95.86688,82.8234,6.2265167,9.930221,12.936124,61.67472,0.107353725,0.26838434,0.107353725,0.26838434
19,43.438915,72.139626,0.12928249,81.38332,66.83904,64.89981,0.0,86.48998,81.25404,93.859085,1.6806724,82.87007,53.652233,83.193275,36.78087,65.74014,36.78087,29.799614,56.62573,71.81642,33.484165,1.8745961,0.64641243,8.468003,26.438269,27.08468,24.305107,59.987076,60.504204,47.705235,58.3064,54.363285,38.073692,56.62573,67.420815,61.150616,54.815777,9.825469,10.471881,28.765354,62.3788,92.50162,9.502263,16.742083,8.597285
20,7.455197,25.01792,1.2186381,61.50538,80.71685,37.992832,0.071684584,16.774195,24.301075,95.197136,0.14336917,96.84588,91.1828,40.28674,62.7957,90.96774,59.928314,50.10753,5.6630826,10.32258,7.6702504,26.164875,10.609319,25.16129,55.985664,34.05018,66.236565,35.985664,38.56631,15.053764,30.17921,38.853046,43.870968,60.931896,60.071682,62.580647,31.39785,37.706093,64.44444,60.860218,97.06093,74.76702,54.83871,5.519713,3.799283
21,14.497816,75.021835,1.39738,91.44105,19.126637,37.379913,0.08733625,71.79039,97.55458,77.90393,0.08733625,85.15284,1.8340611,8.995633,48.995632,19.475983,9.170305,6.2882094,0.0,33.44978,16.768559,1.4847162,0.26200873,0.7860262,13.275109,11.965065,13.100436,81.83406,81.659386,43.93013,80.174675,74.32314,54.323143,2.0087337,25.58952,20.349344,12.751092,25.414848,6.4628825,1.746725,87.24891,99.03931,39.912666,5.8515286,1.1353712
